history,scenario,attempt_budget,policy,unique_questions,seeds,success,success_low,success_high,success_delta_vs_original,success_delta_vs_original_low,success_delta_vs_original_high,cost_delta_vs_original,cost_delta_vs_original_low,cost_delta_vs_original_high
1000,arm_shift,1,original,60,3,0.32222222222222213,0.24444444444444446,0.4055555555555555,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,1,ewma,60,3,0.3222222222222222,0.23333333333333342,0.4111111111111112,0.0,-0.06111111111111111,0.06666666666666667,-0.2108440820451072,-0.3790361720755914,-0.05074282551834264
1000,arm_shift,1,repeat_initial,60,3,0.32222222222222213,0.24444444444444446,0.4055555555555555,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,1,switch_on_failure,60,3,0.32222222222222213,0.24444444444444446,0.4055555555555555,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,2,original,60,3,0.45555555555555555,0.36666666666666653,0.55,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,2,ewma,60,3,0.44444444444444436,0.3499999999999999,0.5444444444444444,-0.011111111111111105,-0.07777777777777777,0.05555555555555556,-0.3886654193030502,-0.7247384649133956,-0.09440649930813837
1000,arm_shift,2,repeat_initial,60,3,0.4444444444444444,0.35555555555555546,0.538888888888889,-0.01111111111111111,-0.027777777777777776,0.0,0.06311220627477472,0.011987363746485825,0.1287515377643547
1000,arm_shift,2,switch_on_failure,60,3,0.47777777777777775,0.37777777777777793,0.5777777777777776,0.022222222222222223,-0.05,0.09444444444444446,0.6715704474910665,0.43598228492751795,0.9271255276740069
1000,arm_shift,3,original,60,3,0.5222222222222223,0.42777777777777776,0.6112499999999994,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,3,ewma,60,3,0.5222222222222221,0.4222222222222223,0.6222222222222222,-9.251858538542971e-19,-0.06666666666666667,0.06124999999999925,-0.5611224901637563,-1.0574413773530706,-0.12295387084030529
1000,arm_shift,3,repeat_initial,60,3,0.5111111111111111,0.4111111111111111,0.6111111111111109,-0.01111111111111111,-0.03333333333333333,0.01111111111111111,0.14927855545042307,0.029831139935017632,0.31002206828372425
1000,arm_shift,3,switch_on_failure,60,3,0.6222222222222221,0.5222222222222223,0.7166666666666667,0.10000000000000002,0.01111111111111112,0.18888888888888886,1.4499880729619428,0.9465920891470231,1.932112295686571
1000,arm_shift,5,original,60,3,0.5944444444444443,0.49444444444444446,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,5,ewma,60,3,0.6222222222222222,0.5111111111111112,0.7222222222222222,0.027777777777777776,-0.044444444444444446,0.0945833333333326,-0.360619819803731,-0.9093853308334854,0.1746737042465604
1000,arm_shift,5,repeat_initial,60,3,0.5611111111111111,0.4611111111111111,0.6666666666666665,-0.03333333333333333,-0.06666666666666667,-0.005555555555555555,0.04765240779618908,-0.06651237494203587,0.18415551626708224
1000,arm_shift,5,switch_on_failure,60,3,0.7222222222222222,0.6276388888888887,0.8111111111111111,0.12777777777777777,0.02763888888888889,0.2277777777777778,1.9547890551283658,1.1596359979316282,2.737863088212836
1000,id,1,original,60,3,0.35000000000000003,0.2611111111111111,0.4388888888888889,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,1,ewma,60,3,0.4833333333333333,0.38333333333333325,0.5722222222222224,0.13333333333333333,0.06111111111111111,0.20555555555555557,-0.2108440820451072,-0.3717556533176661,-0.05464046406002676
1000,id,1,repeat_initial,60,3,0.35000000000000003,0.2611111111111111,0.4388888888888889,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,1,switch_on_failure,60,3,0.35000000000000003,0.2611111111111111,0.4388888888888889,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,2,original,60,3,0.5,0.4,0.5944444444444444,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,2,ewma,60,3,0.5722222222222223,0.47777777777777775,0.6611111111111111,0.07222222222222222,-0.005555555555555558,0.15,-0.4768783880506539,-0.7539814070031797,-0.21954280607589594
